ResponseId,MainBranch,Age,RemoteWork,EdLevel,YearsCode,YearsCodePro,DevType,OrgSize,Country,WorkExp,Industry,ConvertedCompYearly
535,I am a developer by profession,35-44 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15,10,"Developer, full-stack",100 to 499 employees,Bolivia,7,"Transportation, or Supply Chain",31200
538,I am a developer by profession,25-34 years old,Remote,Something else,16,11,Cloud infrastructure engineer,100 to 499 employees,Germany,14,"Internet, Telecomm or Information Services",55851
539,I am a developer by profession,45-54 years old,Remote,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",25,25,"Developer, desktop or enterprise applications",20 to 99 employees,United States of America,25,Other:,130000
541,I am a developer by profession,25-34 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",16,10,NA,20 to 99 employees,France,10,Media & Advertising Services,90221
543,I am a developer by profession,18-24 years old,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5,Less than 1 year,"Developer, full-stack",20 to 99 employees,Morocco,0,Software Development,3618
544,"I am not primarily a developer, but I write code sometimes as part of my work/studies",35-44 years old,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15,13,Research & Development role,"5,000 to 9,999 employees",United States of America,15,Government,150000
546,I am a developer by profession,35-44 years old,Remote,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",21,19,"Developer, back-end","10,000 or more employees",United States of America,19,Software Development,400000
549,I am a developer by profession,25-34 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12,4,"Developer, full-stack",2 to 9 employees,India,4,Software Development,13160
550,"I am not primarily a developer, but I write code sometimes as part of my work/studies",25-34 years old,Remote,Some college/university study without earning a degree,15,9,Other (please specify):,"1,000 to 4,999 employees",United States of America,9,Software Development,160000
552,I am a developer by profession,35-44 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",19,13,"Developer, back-end",10 to 19 employees,Turkey,14,Retail and Consumer Services,2411
554,I am a developer by profession,35-44 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20,17,"Developer, back-end","10,000 or more employees",Georgia,17,Banking/Financial Services,50340
560,I am a developer by profession,25-34 years old,"Hybrid (some remote, some in-person)","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",9,3,Academic researcher,2 to 9 employees,United Kingdom of Great Britain and Northern Ireland,3,Higher Education,49681
561,I am a developer by profession,25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11,9,"Developer, desktop or enterprise applications",2 to 9 employees,United States of America,9,Software Development,100000
565,I am a developer by profession,35-44 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20,10,Other (please specify):,"1,000 to 4,999 employees",Saudi Arabia,20,Healthcare,16532
567,I am a developer by profession,35-44 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",26,22,"Developer, full-stack",100 to 499 employees,United States of America,22,Other:,220000
569,I am a developer by profession,35-44 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",21,13,"Developer, back-end","10,000 or more employees",United States of America,13,Software Development,220000
570,I am a developer by profession,25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",13,11,"Developer, full-stack",20 to 99 employees,Brazil,11,"Internet, Telecomm or Information Services",10630
571,I am a developer by profession,35-44 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",30,22,"Developer, full-stack","1,000 to 4,999 employees",United States of America,25,"Transportation, or Supply Chain",250000
573,I am a developer by profession,55-64 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",40,35,"Developer, full-stack",10 to 19 employees,United States of America,40,Software Development,140000
576,I am a developer by profession,35-44 years old,NA,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",24,20,"Developer, full-stack",10 to 19 employees,United States of America,22,Software Development,180000
579,I am a developer by profession,35-44 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",13,10,"Developer, desktop or enterprise applications",20 to 99 employees,United Kingdom of Great Britain and Northern Ireland,10,Manufacturing,75159
580,I am a developer by profession,45-54 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",33,25,"Developer, back-end",10 to 19 employees,United States of America,25,Software Development,150000
582,I am a developer by profession,25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15,9,"Developer, back-end",20 to 99 employees,United Kingdom of Great Britain and Northern Ireland,9,Healthcare,104458
586,I am a developer by profession,45-54 years old,Remote,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",20,15,Data scientist or machine learning specialist,2 to 9 employees,United States of America,15,Other:,100000
587,I am a developer by profession,25-34 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10,7,"Developer, full-stack",2 to 9 employees,Ireland,7,"Internet, Telecomm or Information Services",47259
588,I am a developer by profession,65 years or older,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",31,31,"Developer, back-end",100 to 499 employees,United States of America,44,"Internet, Telecomm or Information Services",150000
592,I am a developer by profession,25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",16,12,"Developer, full-stack","10,000 or more employees",Germany,8,NA,96666
593,I am a developer by profession,35-44 years old,"Hybrid (some remote, some in-person)","Associate degree (A.A., A.S., etc.)",14,10,"Developer, full-stack",100 to 499 employees,United States of America,10,Insurance,150000
595,I am a developer by profession,25-34 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15,7,"Developer, back-end","10,000 or more employees",United States of America,7,"Internet, Telecomm or Information Services",432000
596,I am a developer by profession,25-34 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12,8,"Developer, front-end",500 to 999 employees,Ukraine,8,Retail and Consumer Services,1740
597,I am a developer by profession,55-64 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",45,41,Other (please specify):,"10,000 or more employees",United Kingdom of Great Britain and Northern Ireland,41,Software Development,152865
602,I am a developer by profession,45-54 years old,Remote,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",26,25,"Developer, back-end",500 to 999 employees,Italy,30,Software Development,29000
604,I am a developer by profession,35-44 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",22,10,Other (please specify):,"10,000 or more employees",United Kingdom of Great Britain and Northern Ireland,10,"Transportation, or Supply Chain",67516
607,I am a developer by profession,55-64 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",31,20,"Developer, back-end","10,000 or more employees",United States of America,25,Retail and Consumer Services,185000
613,I am a developer by profession,25-34 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15,11,Engineering manager,10 to 19 employees,Spain,11,Insurance,91295
614,I am a developer by profession,18-24 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7,5,"Developer, full-stack",2 to 9 employees,India,2,Retail and Consumer Services,5982
616,I am a developer by profession,25-34 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",21,12,"Developer, QA or test","5,000 to 9,999 employees",France,12,Software Development,67666
617,"I am not primarily a developer, but I write code sometimes as part of my work/studies",25-34 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",16,11,Other (please specify):,20 to 99 employees,Italy,13,Healthcare,178343
618,I am a developer by profession,25-34 years old,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12,6,NA,100 to 499 employees,France,5,Manufacturing,63370
619,I am a developer by profession,35-44 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",17,14,"Developer, back-end",20 to 99 employees,United Kingdom of Great Britain and Northern Ireland,14,Media & Advertising Services,85350
621,I am a developer by profession,25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,3,"Developer, back-end","10,000 or more employees",United States of America,4,"Internet, Telecomm or Information Services",120000
625,I am a developer by profession,25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12,7,NA,"10,000 or more employees",United States of America,7,Banking/Financial Services,205000
629,I am a developer by profession,25-34 years old,Remote,Some college/university study without earning a degree,18,11,"Developer, front-end",100 to 499 employees,Cyprus,11,Software Development,93980
630,I am a developer by profession,35-44 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",13,9,"Developer, full-stack",20 to 99 employees,Paraguay,10,Fintech,100000
632,I am a developer by profession,18-24 years old,"Hybrid (some remote, some in-person)","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",9,6,"Developer, full-stack",100 to 499 employees,Switzerland,9,Banking/Financial Services,128129
633,I am a developer by profession,25-34 years old,"Hybrid (some remote, some in-person)","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",16,12,"Developer, back-end",100 to 499 employees,France,12,Other:,44037
637,I am a developer by profession,45-54 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",32,24,Developer Experience,20 to 99 employees,United States of America,24,Software Development,300000
641,I am a developer by profession,45-54 years old,"Hybrid (some remote, some in-person)",Some college/university study without earning a degree,40,30,"Developer, full-stack",100 to 499 employees,Ireland,30,Computer Systems Design and Services,161109
642,I am a developer by profession,35-44 years old,"Hybrid (some remote, some in-person)","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",25,14,"Developer, full-stack","1,000 to 4,999 employees",Germany,14,Other:,89147
650,I am a developer by profession,25-34 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12,10,"Developer, full-stack","10,000 or more employees",Lithuania,10,Software Development,90221
653,I am a developer by profession,25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",17,17,"Developer, full-stack",20 to 99 employees,United States of America,17,"Transportation, or Supply Chain",190000
655,I am a developer by profession,18-24 years old,In-person,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",10,Less than 1 year,"Developer, desktop or enterprise applications",20 to 99 employees,United Kingdom of Great Britain and Northern Ireland,1,"Internet, Telecomm or Information Services",31847
657,I am a developer by profession,55-64 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",32,30,"Developer, full-stack",20 to 99 employees,Netherlands,30,Software Development,53703
661,I am a developer by profession,25-34 years old,"Hybrid (some remote, some in-person)","Associate degree (A.A., A.S., etc.)",12,6,"Developer, back-end",100 to 499 employees,Slovenia,6,Healthcare,53703
663,I am a developer by profession,35-44 years old,Remote,Some college/university study without earning a degree,24,17,"Developer, full-stack","1,000 to 4,999 employees",Romania,24,Software Development,161109
664,I am a developer by profession,35-44 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",30,24,"Developer, full-stack",20 to 99 employees,Spain,24,Healthcare,32222
666,I am a developer by profession,25-34 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11,11,Engineering manager,20 to 99 employees,India,11,Software Development,47854
670,I am a developer by profession,18-24 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,5,"Developer, full-stack",10 to 19 employees,United States of America,5,Manufacturing,118000
671,I am a developer by profession,45-54 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",33,20,Research & Development role,100 to 499 employees,United States of America,30,Software Development,150000
672,I am a developer by profession,35-44 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4,2,"Developer, full-stack","5,000 to 9,999 employees",United States of America,4,Manufacturing,87250
676,I am a developer by profession,18-24 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",13,5,"Developer, full-stack",20 to 99 employees,Germany,5,Software Development,55851
678,I am a developer by profession,45-54 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",30,22,"Developer, full-stack",100 to 499 employees,Spain,31,Computer Systems Design and Services,42962
682,I am a developer by profession,35-44 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",23,8,"Developer, full-stack",10 to 19 employees,Germany,8,Software Development,91295
683,I am a developer by profession,45-54 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",35,18,"Developer, desktop or enterprise applications",20 to 99 employees,Russian Federation,24,Software Development,56022
686,I am a developer by profession,25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",14,10,"Developer, full-stack","1,000 to 4,999 employees",United States of America,10,Software Development,124000
688,I am a developer by profession,18-24 years old,In-person,Some college/university study without earning a degree,16,4,"Developer, full-stack",100 to 499 employees,Brazil,4,Software Development,10070
690,I am a developer by profession,25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",19,11,"Developer, back-end",100 to 499 employees,Italy,10,Software Development,91295
691,I am a developer by profession,55-64 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",45,40,Cloud infrastructure engineer,"10,000 or more employees",United States of America,36,Government,120000
692,I am a developer by profession,25-34 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12,1,"Developer, full-stack",20 to 99 employees,France,1,Software Development,44037
695,I am a developer by profession,45-54 years old,"Hybrid (some remote, some in-person)",Some college/university study without earning a degree,30,26,"Developer, full-stack",10 to 19 employees,Netherlands,30,Software Development,6230
696,"I am not primarily a developer, but I write code sometimes as part of my work/studies",25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11,NA,"Developer, back-end",100 to 499 employees,India,12,Insurance,43068
700,I am a developer by profession,45-54 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",22,17,"Developer, back-end",20 to 99 employees,Germany,17,"Internet, Telecomm or Information Services",139628
701,I am a developer by profession,25-34 years old,Remote,"Associate degree (A.A., A.S., etc.)",9,5,Cloud infrastructure engineer,100 to 499 employees,Canada,5,"Internet, Telecomm or Information Services",181732
704,I am a developer by profession,45-54 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",36,20,"Developer, full-stack",2 to 9 employees,United States of America,29,Software Development,250000
708,I am a developer by profession,35-44 years old,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12,7,Research & Development role,100 to 499 employees,Japan,10,Other:,50915
711,"I am not primarily a developer, but I write code sometimes as part of my work/studies",35-44 years old,"Hybrid (some remote, some in-person)","Associate degree (A.A., A.S., etc.)",34,18,NA,"1,000 to 4,999 employees",United Kingdom of Great Britain and Northern Ireland,25,Manufacturing,49681
712,I am a developer by profession,25-34 years old,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",21,13,"Senior Executive (C-Suite, VP, etc.)",2 to 9 employees,Latvia,13,Software Development,32222
714,I am a developer by profession,25-34 years old,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12,5,"Developer, full-stack",100 to 499 employees,United States of America,5,"Internet, Telecomm or Information Services",257000
715,I am a developer by profession,35-44 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20,13,"Developer, full-stack","1,000 to 4,999 employees",United States of America,13,Healthcare,163000
718,I am a developer by profession,25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15,9,"Developer, front-end","5,000 to 9,999 employees",Sweden,15,Other:,70584
719,I am a developer by profession,25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",16,15,"Developer, back-end",20 to 99 employees,Costa Rica,16,"Internet, Telecomm or Information Services",200000
722,I am a developer by profession,35-44 years old,"Hybrid (some remote, some in-person)","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",27,12,"Developer, back-end","10,000 or more employees",Poland,27,Software Development,74239
723,I am a developer by profession,18-24 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,4,"Developer, full-stack","1,000 to 4,999 employees",India,5,Media & Advertising Services,9571
725,I am a developer by profession,35-44 years old,In-person,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",19,5,Research & Development role,"1,000 to 4,999 employees",France,16,Higher Education,66592
726,I am a developer by profession,65 years or older,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",48,20,"Developer, back-end","10,000 or more employees",United Kingdom of Great Britain and Northern Ireland,45,Other:,57325
728,I am a developer by profession,35-44 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",32,23,"Developer, full-stack",20 to 99 employees,United Kingdom of Great Britain and Northern Ireland,22,Other:,56051
729,I am a developer by profession,35-44 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15,10,"Developer, full-stack",2 to 9 employees,Italy,15,Software Development,27926
731,I am a developer by profession,25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9,7,"Developer, mobile","5,000 to 9,999 employees",United States of America,9,Retail and Consumer Services,105000
734,I am a developer by profession,35-44 years old,In-person,Some college/university study without earning a degree,20,18,"Developer, full-stack",100 to 499 employees,Czech Republic,18,Banking/Financial Services,43435
739,I am a developer by profession,35-44 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",23,12,"Developer, full-stack",100 to 499 employees,United States of America,12,Higher Education,70000
742,I am a developer by profession,35-44 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",19,13,"Senior Executive (C-Suite, VP, etc.)",20 to 99 employees,United Kingdom of Great Britain and Northern Ireland,13,Banking/Financial Services,127388
747,I am a developer by profession,35-44 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18,15,Data scientist or machine learning specialist,100 to 499 employees,Canada,15,Software Development,122124
749,I am a developer by profession,35-44 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",21,14,NA,"1,000 to 4,999 employees",Spain,15,Media & Advertising Services,80555
751,I am a developer by profession,35-44 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12,10,"Developer, desktop or enterprise applications",20 to 99 employees,Norway,10,Government,149746
760,I am a developer by profession,25-34 years old,Remote,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",16,14,"Developer, full-stack",100 to 499 employees,Austria,12,Fintech,80555
